"Registration";"Lfz.-Muster/Typ";"Hersteller - Eigentümer/Halter"
"HB-PJA";"PA-28R-201";"THE NEW PIPER AIRCRAFT, INC."
"HB-PJC";"PA-46-500TP";"PIPER AIRCRAFT, INC."
"HB-PJE";"PA-32R-301";"THE NEW PIPER AIRCRAFT, INC."
"HB-PJF";"PA-32R-301T";"PIPER AIRCRAFT, INC."
"HB-PJG";"PA-46-500TP";"THE NEW PIPER AIRCRAFT, INC."
"HB-PJP";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PJW";"PA-46-310P";"PIPER AIRCRAFT CORPORATION"
"HB-PKC";"PA-46-310P";"PIPER AIRCRAFT CORPORATION"
"HB-PKD";"PA-46-310P";"PIPER AIRCRAFT CORPORATION"
"HB-PKE";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PKF";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PKG";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PKI";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PKJ";"PA-32-301T";"PIPER AIRCRAFT CORPORATION"
"HB-PKK";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PKR";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PKS";"PA-46-350P";"THE NEW PIPER AIRCRAFT, INC."
"HB-PKT";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PKV";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PKX";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PLC";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PLD";"PA-46-310P";"PIPER AIRCRAFT CORPORATION"
"HB-PLE";"PA-46-310P";"PIPER AIRCRAFT CORPORATION"
"HB-PLG";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PLL";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PLQ";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PLW";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PLY";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PLZ";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PMC";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PMF";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PMG";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PMH";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PMI";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PMJ";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PMK";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PMM";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PMN";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PMP";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PMT";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PNB";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PNG";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PNI";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PNL";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PNM";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PNN";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PNP";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PNT";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PNU";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-PNX";"PA-32R-301T";"PIPER AIRCRAFT CORPORATION"
"HB-PNZ";"PA-24-260";"PIPER AIRCRAFT CORPORATION"
"HB-POC";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-POD";"PA-18-180M";"PIPER AIRCRAFT CORPORATION"
"HB-POE";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-POF";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-POG";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-POL";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PON";"PA-24-260";"PIPER AIRCRAFT CORPORATION"
"HB-POP";"PA-46-350P";"PIPER AIRCRAFT CORPORATION"
"HB-POQ";"J3C-65/L-4.";"PIPER AIRCRAFT CORPORATION"
"HB-POR";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-POU";"PA-18-150";"PIPER AIRCRAFT CORPORATION"
"HB-POX";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-POY";"PA-46-350P";"PIPER AIRCRAFT CORPORATION"
"HB-PPB";"PA-28RT-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PPD";"PA-24-260";"PIPER AIRCRAFT CORPORATION"
"HB-PPF";"PA-28-161";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPG";"PA-28-161";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPH";"PA-46-350P";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPJ";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PPK";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPL";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PPM";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPN";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPQ";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PPS";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PPT";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PPW";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PPX";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PPY";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PQB";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PQD";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PQF";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PQG";"PA-28R-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PQI";"PA-28-161";"PIPER AIRCRAFT CORPORATION"
"HB-PQK";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PQL";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PQM";"PA-18";"PIPER AIRCRAFT CORPORATION"
"HB-PQN";"PA-32R-301";"THE NEW PIPER AIRCRAFT, INC."
"HB-PQO";"PA-28R-201";"PIPER AIRCRAFT CORPORATION"
"HB-PQP";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PQQ";"PA-28R-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PQR";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PQS";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PQW";"PA-46-350P";"PIPER AIRCRAFT CORPORATION"
"HB-PQY";"PA-28R-201";"THE NEW PIPER AIRCRAFT, INC."
"HB-PRB";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PRD";"PA-32R-301T";"THE NEW PIPER AIRCRAFT, INC."
"HB-PRI";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PRK";"PA-46-350P";"PIPER AIRCRAFT, INC."
"HB-PRL";"PA-28-161";"PIPER AIRCRAFT, INC."
"HB-PRM";"PA-28-181";"PIPER AIRCRAFT CORPORATION"
"HB-PRN";"PA-46-500TP";"PIPER AIRCRAFT, INC."
"HB-PRS";"PA-18";"PIPER AIRCRAFT CORPORATION"
"HB-PRT";"PA-18 ""150""";"PIPER AIRCRAFT CORPORATION"
"HB-PRU";"PA-28R-201T";"PIPER AIRCRAFT CORPORATION"
"HB-PRY";"PA-28-236";"PIPER AIRCRAFT CORPORATION"
"HB-PSB";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PSG";"PA-28-181";"THE NEW PIPER AIRCRAFT, INC."
"HB-PSH";"PA-46-500TP";"THE NEW PIPER AIRCRAFT, INC."
"HB-PSK";"PA-46-350P";"THE NEW PIPER AIRCRAFT, INC."
"HB-PSM";"PA-46-350P";"PIPER AIRCRAFT, INC."
"HB-PST";"PA-46-350P";"THE NEW PIPER AIRCRAFT, INC."
"HB-PTM";"PA-32R-301T";"PIPER AIRCRAFT CORPORATION"
"HB-PTS";"PA-46-500TP";"PIPER AIRCRAFT, INC."
"HB-PTU";"PA-46-350P";"THE NEW PIPER AIRCRAFT, INC."
"HB-PTW";"PA-46-600TP";"PIPER AIRCRAFT, INC."
"HB-QAB";"LBL 31A";"LINDSTRAND BALLOONS LTD"
"HB-QAC";"LBL 31A";"LINDSTRAND BALLOONS LTD"
"HB-QAG";"LBL 310A";"LINDSTRAND BALLOONS LTD"
"HB-QAT";"NL-STU/640";"BALLONBAU WÖRNER GMBH"
"HB-QAV";"M-130";"ULTRAMAGIC, S.A."
"HB-QBF";"AS 105 MKII";"CAMERON BALLOONS LTD."
"HB-QBH";"LBL 150A";"LINDSTRAND BALLOONS LTD"
"HB-QBI";"LBL 120A";"LINDSTRAND BALLOONS LTD"
"HB-QBR";"JZ 30 F16";"BALLONS CHAIZE"
"HB-QBW";"AS 105 MKII";"CAMERON BALLOONS LTD."
"HB-QBY";"N-145";"CAMERON BALLOONS LTD."
"HB-QCB";"N-120";"CAMERON BALLOONS LTD."
"HB-QCD";"AX8-90 S2";"CAMERON BALLOONS LTD."
"HB-QCF";"A-120";"CAMERON BALLOONS LTD."
"HB-QDA";"FIRE BALLOONS G 36/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QDI";"S-66A";"AEROSTAR INTERNATIONAL, INC."
"HB-QDV";"N-120";"CAMERON BALLOONS LTD."
"HB-QDW";"BB85Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QDY";"M-65C";"ULTRAMAGIC, S.A."
"HB-QEE";"LBL 180A";"LINDSTRAND BALLOONS LTD"
"HB-QEI";"O-160";"CAMERON BALLOONS LTD."
"HB-QEJ";"105-24";"SKY BALLOONS LTD."
"HB-QEL";"105-24";"SKY BALLOONS LTD."
"HB-QET";"C-60";"CAMERON BALLOONS LTD."
"HB-QEV";"FIRE BALLOONS G 33/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QFC";"S-66A";"AEROSTAR INTERNATIONAL, INC."
"HB-QFE";"FIRE BALLOONS G 26/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QFI";"120A";"CAMERON BALLOONS LTD."
"HB-QFM";"RX-9";"AEROSTAR INTERNATIONAL, INC."
"HB-QFN";"FIRE BALLOONS G 60/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QFR";"FIRE BALLOONS G 36/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QFS";"FIRE BALLOONS G 22/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QGF";"SPECIAL SHAPE (ORBITER)";"CAMERON BALLOONS LTD."
"HB-QGG";"A-160";"CAMERON BALLOONS LTD."
"HB-QGK";"FIRE BALLOONS G 26/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QGM";"O-84";"CAMERON BALLOONS LTD."
"HB-QGO";"FIRE BALLOONS G 34/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QGP";"FIRE BALLOONS G 26/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QGR";"Z-160";"CAMERON BALLOONS LTD."
"HB-QGT";"120A";"CAMERON BALLOONS LTD."
"HB-QGU";"M-160";"ULTRAMAGIC, S.A."
"HB-QGV";"A-160";"CAMERON BALLOONS LTD."
"HB-QGW";"31A";"CAMERON BALLOONS LTD."
"HB-QGX";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QHB";"S-105";"ULTRAMAGIC, S.A."
"HB-QHH";"BB45N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QHI";"FIRE BALLOONS G 34/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QHP";"NL-STU/1000";"BALLONBAU WÖRNER GMBH"
"HB-QHQ";"LBL 90A";"LINDSTRAND BALLOONS LTD"
"HB-QHR";"BB45N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QHU";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QHX";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QHY";"BB22N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QIA";"BB45N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QIB";"M-145";"ULTRAMAGIC, S.A."
"HB-QID";"105A";"CAMERON BALLOONS LTD."
"HB-QIE";"S-64A";"AEROSTAR INTERNATIONAL, INC."
"HB-QIF";"FIRE BALLOONS G 34/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QIG";"BB30Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QIJ";"BB26N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QIK";"FIRE BALLOONS G 34/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QIM";"FIRE BALLOONS G 34/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QIR";"BB60N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QIU";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QIY";"BB42Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QJD";"Z-210";"CAMERON BALLOONS LTD."
"HB-QJS";"BB22N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QJT";"BB22N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QJU";"120A";"CAMERON BALLOONS LTD."
"HB-QJV";"BB30N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QJY";"M-130";"ULTRAMAGIC, S.A."
"HB-QKC";"BB26";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKD";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKE";"FIRE BALLOONS G 42/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QKF";"NL-STU/1000";"BALLONBAU WÖRNER GMBH"
"HB-QKH";"BB45N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKI";"BB60N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKN";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKO";"BB60N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKP";"BB45N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QKQ";"Z-275";"CAMERON BALLOONS LTD."
"HB-QKR";"Z-120";"CAMERON BALLOONS LTD."
"HB-QKS";"Z-90";"CAMERON BALLOONS LTD."
"HB-QKT";"120A";"CAMERON BALLOONS LTD."
"HB-QKZ";"BB45N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QLA";"BB85Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QLD";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QLF";"Z-250";"CAMERON BALLOONS LTD."
"HB-QLG";"Z-180";"CAMERON BALLOONS LTD."
"HB-QLJ";"M-90";"ULTRAMAGIC, S.A."
"HB-QLK";"Z-105";"CAMERON BALLOONS LTD."
"HB-QLN";"M-77C";"ULTRAMAGIC, S.A."
"HB-QLP";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QLS";"Z-77";"CAMERON BALLOONS LTD."
"HB-QLT";"AS 105 GD";"GEFA-FLUG GMBH"
"HB-QLU";"BB60Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QLW";"Z-120";"CAMERON BALLOONS LTD."
"HB-QLZ";"BB60Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMA";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMC";"LBL 120A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QMG";"LBL 310A";"LINDSTRAND BALLOONS LTD"
"HB-QMI";"BB51Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMM";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMN";"BB30N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMP";"BB51Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMR";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMU";"Z-275";"CAMERON BALLOONS LTD."
"HB-QMW";"V-77";"CAMERON BALLOONS LTD."
"HB-QMX";"BB-S (SILO)";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QMZ";"C-90";"CAMERON BALLOONS LTD."
"HB-QNA";"M-120";"ULTRAMAGIC, S.A."
"HB-QNB";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QNC";"M-145";"ULTRAMAGIC, S.A."
"HB-QND";"FIRE BALLOONS G 42/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QNE";"FIRE BALLOONS G 30/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QNF";"Z-69";"CAMERON BALLOONS LTD."
"HB-QNG";"M-77C";"ULTRAMAGIC, S.A."
"HB-QNH";"Z-69";"CAMERON BALLOONS LTD."
"HB-QNJ";"Z-180";"CAMERON BALLOONS LTD."
"HB-QNK";"Z-180";"CAMERON BALLOONS LTD."
"HB-QNL";"FIRE BALLOONS G 26/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QNM";"LBL 69X";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QNN";"SPECIAL SHAPE (CUP-110)";"CAMERON BALLOONS LTD."
"HB-QNO";"Z-105";"CAMERON BALLOONS LTD."
"HB-QNP";"Z-90";"CAMERON BALLOONS LTD."
"HB-QNT";"BB85Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QNV";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QNW";"BB37Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QNX";"FIRE BALLOONS G 42/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QNY";"M-160";"ULTRAMAGIC, S.A."
"HB-QNZ";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOA";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QOB";"SPECIAL SHAPE (COLT FLYING HUT)";"CAMERON BALLOONS LTD."
"HB-QOC";"SPECIAL SHAPE (COLT FLYING SHUTTLECOCK)";"CAMERON BALLOONS LTD."
"HB-QOD";"BB37Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOE";"BB37Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOF";"FIRE BALLOONS G 30/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QOG";"BB26N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOH";"SPECIAL SHAPE (F-9 BOTELLA DE AGUA)";"ULTRAMAGIC, S.A."
"HB-QOJ";"SPECIAL SHAPE (RX-105)";"CAMERON BALLOONS LTD."
"HB-QOK";"N-180";"ULTRAMAGIC, S.A."
"HB-QOM";"DEDEROD";"HOMEBUILT (CH)"
"HB-QON";"BB42Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOO";"Z-90";"ULTRAMAGIC, S.A."
"HB-QOP";"M-56";"ULTRAMAGIC, S.A."
"HB-QOQ";"LBL 180A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QOT";"Z-140";"CAMERON BALLOONS LTD."
"HB-QOU";"BB85Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOV";"AX 7-73 BOLAND";"HOMEBUILT (CH)"
"HB-QOW";"Z-120";"CAMERON BALLOONS LTD."
"HB-QOX";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QOY";"FIRE BALLOONS G 50/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QOZ";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPA";"Z-120";"CAMERON BALLOONS LTD."
"HB-QPB";"Z-140";"CAMERON BALLOONS LTD."
"HB-QPC";"BB60Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPD";"BB40Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPE";"Z-250";"CAMERON BALLOONS LTD."
"HB-QPF";"M-77C";"ULTRAMAGIC, S.A."
"HB-QPG";"BB22Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPH";"BB22Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPJ";"NL-STU/1000";"BALLONBAU WÖRNER GMBH"
"HB-QPK";"BB85Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPL";"FIRE BALLOONS G 36/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QPM";"N-355";"ULTRAMAGIC, S.A."
"HB-QPN";"BB70Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPO";"S-130";"ULTRAMAGIC, S.A."
"HB-QPP";"M-77C";"ULTRAMAGIC, S.A."
"HB-QPQ";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPR";"Z-180";"CAMERON BALLOONS LTD."
"HB-QPS";"M-90";"ULTRAMAGIC, S.A."
"HB-QPT";"Z-105";"CAMERON BALLOONS LTD."
"HB-QPU";"BB51Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QPV";"M-145";"ULTRAMAGIC, S.A."
"HB-QPW";"M-130";"ULTRAMAGIC, S.A."
"HB-QPY";"T-180";"ULTRAMAGIC, S.A."
"HB-QPZ";"FIRE BALLOONS G 36/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QQA";"FIRE BALLOONS G 30/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QQB";"12/2000";"HOMEBUILT (CH)"
"HB-QQC";"Z-315";"CAMERON BALLOONS LTD"
"HB-QQO";"N-300";"ULTRAMAGIC, S.A."
"HB-QQQ";"N-300";"ULTRAMAGIC, S.A."
"HB-QRA";"LBL 140A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QRB";"BB40Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QRC";"N-355";"ULTRAMAGIC, S.A."
"HB-QRD";"M-145";"ULTRAMAGIC, S.A."
"HB-QRE";"M-145";"ULTRAMAGIC, S.A."
"HB-QRF";"Z-160";"CAMERON BALLOONS LTD."
"HB-QRG";"BB34Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QRH";"LBL 150A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QRI";"M-120";"ULTRAMAGIC, S.A."
"HB-QRJ";"AS 105 GD";"GEFA-FLUG GMBH"
"HB-QRK";"BB34Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QRM";"FIRE BALLOONS G 34/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QRN";"M-160";"ULTRAMAGIC, S.A."
"HB-QRO";"BB37Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QRP";"M-145";"ULTRAMAGIC, S.A."
"HB-QRQ";"LBL 425A";"LINDSTRAND BALLOONS LTD"
"HB-QRR";"M-120";"ULTRAMAGIC, S.A."
"HB-QRS";"M-120";"ULTRAMAGIC, S.A."
"HB-QRU";"Z-105";"CAMERON BALLOONS LTD."
"HB-QRV";"NL-STU/1000";"BALLONBAU WÖRNER GMBH"
"HB-QRW";"FIRE BALLOONS G 22/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QRX";"FIRE BALLOONS G 30/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QRZ";"FIRE BALLOONS G 36/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QSA";"BB26N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSD";"BB30Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSF";"BB70Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSI";"BB37N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSJ";"AS 105 MKII";"THUNDER & COLT LTD."
"HB-QSM";"FIRE BALLOONS G 30/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QSP";"BB20GP";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QST";"FIRE BALLOONS G 30/24";"THEO SCHROEDER FIRE BALLOONS GMBH"
"HB-QSU";"BB26N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSV";"BB30Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSY";"BB85Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QSZ";"LBL 56A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QTA";"BB26N";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QTB";"XP M56";"EXPERIMENTAL DUVOISIN ULTRAMAGIC"
"HB-QTC";"M-56";"ULTRAMAGIC, S.A."
"HB-QTD";"N-210";"ULTRAMAGIC, S.A."
"HB-QTF";"LBL 120A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QTH";"LBL 150A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QTI";"LBL 120A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QTJ";"BB34Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QTK";"M-120";"ULTRAMAGIC, S.A."
"HB-QTL";"BB26Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QTM";"LBL 140A";"LINDSTRAND HOT AIR BALLOONS LTD"
"HB-QTN";"BB37Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QTO";"S-50";"ULTRAMAGIC, S.A."
"HB-QTQ";"TR-77";"CAMERON BALLOONS LTD."
"HB-QTR";"BB37Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QTS";"T-150";"ULTRAMAGIC, S.A."
"HB-QTW";"N-250";"ULTRAMAGIC, S.A."
"HB-QTX";"M-120";"ULTRAMAGIC, S.A."
"HB-QTY";"M-130";"ULTRAMAGIC, S.A."
"HB-QTZ";"Z-105";"CAMERON BALLOONS LTD."
"HB-QUB";"BB22XR";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUC";"BB16";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUD";"Z-120";"CAMERON BALLOONS LTD"
"HB-QUE";"BB34Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUF";"FIRE BALLOONS G 36/24";"SCHROEDER FIRE BALLOONS GMBH"
"HB-QUG";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUH";"BB45Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUI";"BB26Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUK";"BB34Z";"BALÓNY KUBÍCEK SPOL. S R.O."
"HB-QUL";"A-180";"CAMERON BALLOONS LTD."
"HB-QUM";"M-90";"ULTRAMAGIC, S.A."
"HB-QUO";"Z-90";"CAMERON BALLOONS LTD"
"HB-QUP";"S-70";"ULTRAMAGIC, S.A."
"HB-QUS";"BB26Z";"BALÓNY KUBÍCEK SPOL. S R.O."
